INFO:2019/03/21 16:00:12 /Users/tao.zhang/go/src/LearnGo/log_go/main.go:25: op err, err_info:not found file , net
INFO:2019/03/21 16:04:58 /Users/tao.zhang/go/src/LearnGo/log_go/main.go:25: op err, err_info:not found file , net
INFO:2019/03/21 16:05:01 /Users/tao.zhang/go/src/LearnGo/log_go/main.go:25: op err, err_info:not found file , net
INFO:2019/03/21 16:05:04 /Users/tao.zhang/go/src/LearnGo/log_go/main.go:25: op err, err_info:not found file , net
INFO:2019/03/21 16:05:06 /Users/tao.zhang/go/src/LearnGo/log_go/main.go:25: op err, err_info:not found file , net
INFO:2019/03/21 16:05:06 /Users/tao.zhang/go/src/LearnGo/log_go/main.go:25: op err, err_info:not found file , net
INFO:2019/03/21 16:06:37 /Users/tao.zhang/go/src/LearnGo/log_go/main.go:25: op err, err_info:not found file , net
INFO:2019/03/21 16:06:42 /Users/tao.zhang/go/src/LearnGo/log_go/main.go:25: op err, err_info:not found file , net
INFO:2019/03/21 16:06:43 /Users/tao.zhang/go/src/LearnGo/log_go/main.go:25: op err, err_info:not found file , net
INFO:2019/03/21 16:06:44 /Users/tao.zhang/go/src/LearnGo/log_go/main.go:25: op err, err_info:not found file , net
INFO:2019/03/21 16:06:45 /Users/tao.zhang/go/src/LearnGo/log_go/main.go:25: op err, err_info:not found file , net
INFO:2019/03/21 16:06:45 /Users/tao.zhang/go/src/LearnGo/log_go/main.go:25: op err, err_info:not found file , net
INFO:2019/03/21 16:06:46 /Users/tao.zhang/go/src/LearnGo/log_go/main.go:25: op err, err_info:not found file , net
INFO:2019/03/21 16:06:47 /Users/tao.zhang/go/src/LearnGo/log_go/main.go:25: op err, err_info:not found file , net
INFO:2019/03/21 16:06:47 /Users/tao.zhang/go/src/LearnGo/log_go/main.go:25: op err, err_info:not found file , net
INFO:2019/03/21 16:06:48 /Users/tao.zhang/go/src/LearnGo/log_go/main.go:25: op err, err_info:not found file , net
